,date,name,link,from,to,amount,bod,nationality,year,year_str,year_ly,year_ly_str,merge,merge_ly,full_name,birthday_GMT,season_real,nationality_real,position,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,season_str,merge_real,season_fifa,sofifa_id,short_name,long_name,age,dob,height_cm,weight_kg,nationality_fifa,club_name,league_name,league_rank,overall,potential,international_reputation,skill_moves,joined,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,season_str_fifa,merge_fifa,diff_season_real,diff_season_fifa
0,2017-07-01,mohamed salah,/mohamed-salah/profil/spieler/148455,AS Roma,FC Liverpool,42000000,1992/06/15,Egypt,2018,2018,2017,2017,mohamed salah_Egypt_1992/06/15_2018,mohamed salah_Egypt_1992/06/15_2017,mohamed salah,1992/06/14,2017,Egypt,Forward,2486,1282,1204,31,16,15,15,9,6,11,6,5,0,0,8,4,4,25,14,11,2,0,21,6,-1,0.94,0.4,0.54,0.63,0.45,166.0,0.91,99.0,80.0,1243.0,226.0,0.07,2017,mohamed salah_Egypt_1992/06/15_2017,2017,209331,M. Salah,mohamed salah ghaly,24,1992/06/15,175,72,Egypt,roma,Italian Serie A,1,81,86,2,4,2014-01-26,2019,91,72,70,86,45,65,0,0,0,0,0,0,69,77,59,76,69,87,59,60,63,87,92,91,86,80,84,71,70,77,60,62,63,55,81,71,61,37,43,41,14,14,9,11,14,2017,mohamed salah_Egypt_1992/06/15_2017,1,1
1,2017-07-01,corentin tolisso,/corentin-tolisso/profil/spieler/190393,Ol. Lyonnais,FC Bayern,41500000,1994/08/03,France,2018,2018,2017,2017,corentin tolisso_France_1994/08/03_2018,corentin tolisso_France_1994/08/03_2017,corentin tolisso,1994/08/02,2017,France,Midfielder,2577,1149,1428,31,14,17,8,5,3,5,3,2,0,0,9,4,5,38,18,20,2,1,64,75,-1,0.45,0.17,0.28,0.39,0.19,322.0,1.33,68.0,83.0,859.0,515.0,0.1,2017,corentin tolisso_France_1994/08/03_2017,2017,219683,C. Tolisso,corentin tolisso,21,1994/08/03,181,78,France,olympique lyonnais,French Ligue 1,1,78,86,1,3,2013-08-01,2020,73,74,74,73,76,80,0,0,0,0,0,0,66,73,82,77,62,70,66,73,80,76,72,73,72,80,73,80,89,80,78,72,81,77,78,75,70,74,77,72,7,10,14,9,14,2017,corentin tolisso_France_1994/08/03_2017,1,1
2,2017-07-01,jordan pickford,/jordan-pickford/profil/spieler/130164,AFC Sunderland,FC Everton,28500000,1994/03/07,England,2018,2018,2017,2017,jordan pickford_England_1994/03/07_2018,jordan pickford_England_1994/03/07_2017,jordan pickford,1994/03/07,2017,England,Goalkeeper,2610,1260,1350,29,14,15,0,0,0,0,0,0,0,0,4,3,1,45,22,23,0,0,420,420,122,0.0,0.0,0.0,0.0,0.0,0.0,1.55,58.0,90.0,0.0,0.0,0.0,2017,jordan pickford_England_1994/03/07_2017,2017,204935,J. Pickford,jordan pickford,22,1994/03/07,185,77,England,sunderland,English Premier League,1,73,83,1,1,2014-05-21,2020,0,0,0,0,0,0,72,75,82,74,44,71,17,19,15,28,20,14,18,16,33,21,48,41,33,64,67,31,59,44,50,13,23,24,18,65,41,14,20,12,72,75,82,71,74,2017,jordan pickford_England_1994/03/07_2017,1,1
3,2017-07-01,davy klaassen,/davy-klaassen/profil/spieler/182932,Ajax,FC Everton,27000000,1993/02/21,Netherlands,2018,2018,2017,2017,davy klaassen_Netherlands_1993/02/21_2018,davy klaassen_Netherlands_1993/02/21_2017,davy klaassen,1993/02/21,2017,Netherlands,Midfielder,2851,1321,1530,33,16,17,14,3,11,9,5,4,1,1,14,7,7,18,8,10,6,0,32,34,-1,0.73,0.28,0.44,0.2,0.65,204.0,0.57,158.0,86.0,475.0,317.0,0.19,2017,davy klaassen_Netherlands_1993/02/21_2017,2017,203483,D. Klaassen,davy klaassen,23,1993/02/21,179,70,Netherlands,ajax,Holland Eredivisie,1,80,84,2,2,2009-07-01,2019,73,78,73,75,65,78,0,0,0,0,0,0,63,78,75,82,80,73,62,44,70,83,72,73,67,83,63,79,85,88,74,74,76,67,82,77,77,58,71,56,12,6,13,16,10,2017,davy klaassen_Netherlands_1993/02/21_2017,1,1
4,2017-07-01,youri tielemans,/youri-tielemans/profil/spieler/249565,RSC Anderlecht,AS Monaco,25000000,1997/05/07,Belgium,2018,2018,2017,2017,youri tielemans_Belgium_1997/05/07_2018,youri tielemans_Belgium_1997/05/07_2017,youri tielemans,1997/05/06,2017,Belgium,Midfielder,3042,1597,1445,37,19,18,13,9,4,12,8,4,5,2,17,11,6,27,9,18,6,0,24,9,-1,0.74,0.36,0.38,0.51,0.25,234.0,0.8,113.0,82.0,507.0,254.0,0.18,2017,youri tielemans_Belgium_1997/05/07_2017,2017,216393,Y. Tielemans,youri tielemans,19,1997/05/07,177,75,Belgium,rsc anderlecht,Belgian Jupiler Pro League,1,77,89,2,3,2013-05-22,2020,60,73,77,77,67,64,0,0,0,0,0,0,73,66,57,77,72,76,74,74,81,81,61,59,68,76,76,85,65,68,61,80,66,69,64,78,76,64,72,69,6,8,10,14,12,2017,youri tielemans_Belgium_1997/05/07_2017,1,1
5,2017-07-01,nathan ake,/nathan-ake/profil/spieler/177476,Chelsea,Bournemouth,22800000,1995/02/18,Netherlands,2018,2018,2017,2017,nathan ake_Netherlands_1995/02/18_2018,nathan ake_Netherlands_1995/02/18_2017,nathan ake,1995/02/18,2017,Netherlands,Defender,831,450,381,12,5,7,3,2,1,1,1,0,0,0,4,1,3,17,11,6,1,0,48,131,154,0.43,0.11,0.32,0.4,0.24,277.0,1.84,49.0,69.0,831.0,831.0,0.11,2017,nathan ake_Netherlands_1995/02/18_2017,2017,208920,N. Aké,nathan ake,21,1995/02/18,180,75,Netherlands,bournemouth,English Premier League,1,72,81,1,2,2012-07-01,2020,78,49,65,66,71,73,0,0,0,0,0,0,61,41,67,75,52,63,63,59,70,69,77,79,66,73,63,63,77,74,76,56,64,71,42,50,48,68,74,71,10,7,7,16,10,2017,nathan ake_Netherlands_1995/02/18_2017,1,1
6,2017-07-01,nikola maksimovic,/nikola-maksimovic/profil/spieler/124715,Torino,Napoli,21000000,1991/11/25,Serbia,2018,2018,2017,2017,nikola maksimovic_Serbia_1991/11/25_2018,nikola maksimovic_Serbia_1991/11/25_2017,nikola maksimovic,1991/11/25,2017,Serbia,Defender,677,270,407,8,3,5,1,0,1,0,0,0,0,0,0,0,0,13,6,7,1,0,135,292,148,0.13,0.0,0.13,0.0,0.22,677.0,1.73,52.0,85.0,677.0,0.0,0.13,2017,nikola maksimovic_Serbia_1991/11/25_2017,2017,215466,N. Maksimović,nikola maksimovic,24,1991/11/25,193,82,Serbia,napoli,Italian Serie A,1,81,86,2,2,0,2017,66,28,47,55,83,79,0,0,0,0,0,0,45,22,82,59,28,49,29,23,59,61,63,69,54,74,58,39,68,68,86,29,79,83,29,31,26,83,85,79,12,9,5,11,15,2017,nikola maksimovic_Serbia_1991/11/25_2017,1,1
7,2017-07-01,kingsley coman,/kingsley-coman/profil/spieler/243714,Juventus Turin,FC Bayern,21000000,1996/06/13,France,2018,2018,2017,2017,kingsley coman_France_1996/06/13_2018,kingsley coman_France_1996/06/13_2017,kingsley coman,1996/06/12,2017,France,Forward,868,355,513,18,9,9,2,2,0,1,0,1,0,0,9,4,5,4,2,2,1,0,92,142,-1,0.31,0.1,0.21,0.51,0.0,434.0,0.41,217.0,48.0,868.0,868.0,0.1,2017,kingsley coman_France_1996/06/13_2017,2017,213345,K. Coman,kingsley coman,20,1996/06/13,178,71,France,fc bayern munchen,German 1. Bundesliga,1,81,88,2,4,0,2017,93,76,74,84,19,58,0,0,0,0,0,0,79,76,52,78,77,86,84,70,62,79,94,93,88,76,86,78,73,74,58,76,36,23,75,69,70,11,15,15,5,3,5,3,5,2017,kingsley coman_France_1996/06/13_2017,1,1
8,2017-07-01,maximilian philipp,/maximilian-philipp/profil/spieler/143891,SC Fribourg,Bor. Dortmund,20000000,1994/03/01,Germany,2018,2018,2017,2017,maximilian philipp_Germany_1994/03/01_2018,maximilian philipp_Germany_1994/03/01_2017,maximilian philipp,1994/03/01,2017,Germany,Forward,1939,1112,827,25,13,12,9,6,3,2,2,0,0,1,3,3,0,35,18,17,5,0,27,159,-1,0.51,0.09,0.42,0.49,0.33,215.0,1.62,55.0,78.0,388.0,970.0,0.23,2017,maximilian philipp_Germany_1994/03/01_2017,2017,216497,M. Philipp,maximilian philipp,22,1994/03/01,183,76,Germany,sc freiburg,German 1. Bundesliga,1,74,79,1,3,2014-04-05,2017,83,66,69,77,30,63,0,0,0,0,0,0,64,65,51,73,63,78,66,58,62,77,84,83,79,72,75,71,59,68,65,62,55,39,75,74,57,23,27,25,8,12,10,10,9,2017,maximilian philipp_Germany_1994/03/01_2017,1,1
9,2017-07-01,niklas sule,/niklas-sule/profil/spieler/166601,TSG Hoffenheim,FC Bayern,20000000,1995/09/03,Germany,2018,2018,2017,2017,niklas sule_Germany_1995/09/03_2018,niklas sule_Germany_1995/09/03_2017,niklas sule,1995/09/02,2017,Germany,Defender,2887,1477,1410,33,17,16,2,1,1,2,1,1,0,0,12,9,3,32,13,19,4,0,194,202,24,0.12,0.06,0.06,0.06,0.06,1444.0,1.0,90.0,87.0,722.0,1444.0,0.12,2017,niklas sule_Germany_1995/09/03_2017,2017,212190,N. Süle,niklas sule,20,1995/09/03,195,95,Germany,tsg 1899 hoffenheim,German 1. Bundesliga,1,81,87,2,2,2013-05-11,2019,58,39,49,44,83,80,0,0,0,0,0,0,30,20,80,72,29,42,28,30,57,46,51,63,33,79,33,70,38,65,93,59,77,84,26,30,32,82,86,82,15,7,14,7,15,2017,niklas sule_Germany_1995/09/03_2017,1,1
